modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Raja;raja;139122;129383;200868;61746
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Mosquitero;raja+mosquitero;163304;150664;240023;76719
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Contramarco;contramarco;151722;141101;214531;62809
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Premarco + Contramarco;premarco+contramarco;173922;161747;238604;64682
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Brazo;brazo;143122;133103;206643;63521
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Volcable;volcable;143122;133103;206643;63521
RAJA_MODENA;verde;50x100;blanco;50x100 | blanco | Oscilobatiente;oscilobatiente;239122;222383;345250;106128
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Raja;raja;177305;164894;255997;78692
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Mosquitero;raja+mosquitero;201487;186174;295153;93666
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Contramarco;contramarco;189905;176612;269661;79756
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Premarco + Contramarco;premarco+contramarco;212105;197258;293734;81629
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Brazo;brazo;181305;168614;261773;80468
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Volcable;volcable;181305;168614;261773;80468
RAJA_MODENA;verde;50x100;negro;50x100 | negro | Oscilobatiente;oscilobatiente;277305;257894;400380;123075
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Raja;raja;196396;182648;283561;87165
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Mosquitero;raja+mosquitero;220578;203928;322717;102139
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Contramarco;contramarco;208996;194366;297225;88229
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Premarco + Contramarco;premarco+contramarco;231196;215012;321298;90102
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Brazo;brazo;200396;186368;289337;88941
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Volcable;volcable;200396;186368;289337;88941
RAJA_MODENA;verde;50x100;bronce colonial;50x100 | bronce colonial | Oscilobatiente;oscilobatiente;296396;275648;427944;131548
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Raja;raja;495495;460810;715408;219913
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Mosquitero;raja+mosquitero;519677;482091;754564;234887
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Contramarco;contramarco;508095;472528;729071;220976
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Premarco + Contramarco;premarco+contramarco;530295;493174;753144;222849
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Brazo;brazo;499495;464530;721183;221688
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Volcable;volcable;499495;464530;721183;221688
RAJA_MODENA;verde;50x100;simil madera;50x100 | simil madera | Oscilobatiente;oscilobatiente;595495;553810;859791;264296
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Raja;raja;139122;139122;139122;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Mosquitero;raja+mosquitero;163304;163304;163304;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Contramarco;contramarco;151722;151722;151722;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Premarco + Contramarco;premarco+contramarco;173922;173922;173922;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Brazo;brazo;143122;143122;143122;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Volcable;volcable;143122;143122;143122;0
RAJA_MODENA;papu;50x100;blanco;50x100 | blanco | Oscilobatiente;oscilobatiente;239122;239122;239122;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Raja;raja;177305;177305;177305;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Mosquitero;raja+mosquitero;201487;201487;201487;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Contramarco;contramarco;189905;189905;189905;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Premarco + Contramarco;premarco+contramarco;212105;212105;212105;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Brazo;brazo;181305;181305;181305;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Volcable;volcable;181305;181305;181305;0
RAJA_MODENA;papu;50x100;negro;50x100 | negro | Oscilobatiente;oscilobatiente;277305;277305;277305;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Raja;raja;196396;196396;196396;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Mosquitero;raja+mosquitero;220578;220578;220578;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Contramarco;contramarco;208996;208996;208996;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Premarco + Contramarco;premarco+contramarco;231196;231196;231196;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Brazo;brazo;200396;200396;200396;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Volcable;volcable;200396;200396;200396;0
RAJA_MODENA;papu;50x100;bronce colonial;50x100 | bronce colonial | Oscilobatiente;oscilobatiente;296396;296396;296396;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Raja;raja;495495;495495;495495;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Mosquitero;raja+mosquitero;519677;519677;519677;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Contramarco;contramarco;508095;508095;508095;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Premarco + Contramarco;premarco+contramarco;530295;530295;530295;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Brazo;brazo;499495;499495;499495;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Volcable;volcable;499495;499495;499495;0
RAJA_MODENA;papu;50x100;simil madera;50x100 | simil madera | Oscilobatiente;oscilobatiente;595495;595495;595495;0
