modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_MODENA;azul;150x150;negro;150x150 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;333245;309918;426094;92849
VENTANA_MODENA;azul;150x150;negro;150x150 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;386627;359563;513470;126843
VENTANA_MODENA;azul;150x150;negro;150x150 | negro | DVH 4+9+4;DVH 4+9+4;420124;390715;558723;138599
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | 4mm;4mm;289406;269148;384881;95475
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;348947;324521;482338;133391
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco;4mm+premarco;359006;333876;460354;101348
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;359006;333876;460354;101348
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;418547;389249;557811;139264
VENTANA_MODENA;azul;150x150;bronce colonial;150x150 | bronce colonial | DVH 4+9+4;DVH 4+9+4;445885;414673;592982;147097
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | 4mm;4mm;692990;644481;921607;228617
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero;4mm+mosquitero;849029;789597;1177012;327983
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | 4mm + Premarco;4mm+premarco;762590;709209;997080;234490
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;762590;709209;997080;234490
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;918629;854325;1252485;333856
VENTANA_MODENA;azul;150x150;simil madera;150x150 | simil madera | DVH 4+9+4;DVH 4+9+4;849469;790006;1129709;280240
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | 4mm;4mm;160237;149020;213099;52862
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | 4mm + Mosquitero;4mm+mosquitero;188887;175665;259994;71107
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | 4mm + Premarco;4mm+premarco;213597;198645;270962;57365
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;213597;198645;270962;57365
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;242247;225290;317856;75609
VENTANA_MODENA;azul;120x110;blanco;120x110 | blanco | DVH 4+9+4;DVH 4+9+4;270614;251671;359890;89276
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | 4mm;4mm;201510;187404;267988;66478
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | 4mm + Mosquitero;4mm+mosquitero;238755;222042;328951;90196
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | 4mm + Premarco;4mm+premarco;254870;237029;325851;70981
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;254870;237029;325851;70981
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;292115;271667;386813;94698
VENTANA_MODENA;azul;120x110;negro;120x110 | negro | DVH 4+9+4;DVH 4+9+4;311887;290055;414779;102892
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | 4mm;4mm;222146;206596;295432;73286
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;263689;245231;363430;99741
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco;4mm+premarco;275506;256221;353294;77788
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;275506;256221;353294;77788
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;317049;294856;421292;104243
VENTANA_MODENA;azul;120x110;bronce colonial;120x110 | bronce colonial | DVH 4+9+4;DVH 4+9+4;332523;309246;442222;109699
