Caso,Descripcion,CostoBase,PrecioFinal,Items,Valido
"abrir - blanco","Postigón abrir 150x150",248254,248254,1,true
"abrir - negro","Postigón abrir 150x150",322730,322730,1,true
"abrir - bronce colonial","Postigón abrir 150x150",359968,359968,1,true
"abrir - simil madera","Postigón abrir 150x150",943365,943365,1,true
"corredizo - blanco","Postigón corredizo 150x150",209076,209076,1,true
"corredizo - negro","Postigón corredizo 150x150",271799,271799,1,true
"corredizo - bronce colonial","Postigón corredizo 150x150",303160,303160,1,true
"corredizo - simil madera","Postigón corredizo 150x150",794489,794489,1,true
