modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_MODENA;verde;150x110;negro;premarco;345152;320991;476657;131505
PATAGONICA_MODENA;verde;150x110;negro;herrajes_blancos;297347;276533;429317;131970
PATAGONICA_MODENA;verde;200x150;negro;raja;546554;508295;789128;242574
PATAGONICA_MODENA;verde;200x150;negro;brazo;550554;512015;794904;244350
PATAGONICA_MODENA;verde;200x150;negro;volcable;550554;512015;794904;244350
PATAGONICA_MODENA;verde;200x150;negro;oscilobatiente;646554;601295;933511;286957
PATAGONICA_MODENA;verde;200x150;negro;mosquitero;691646;635976;1024061;332415
PATAGONICA_MODENA;verde;200x150;negro;premarco;627754;583811;877180;249426
PATAGONICA_MODENA;verde;200x150;negro;herrajes_blancos;570333;530410;823461;253128
PATAGONICA_MODENA;verde;150x110;bronce colonial;raja;313713;291753;452947;139234
PATAGONICA_MODENA;verde;150x110;bronce colonial;brazo;317713;295473;458722;141009
PATAGONICA_MODENA;verde;150x110;bronce colonial;volcable;317713;295473;458722;141009
PATAGONICA_MODENA;verde;150x110;bronce colonial;oscilobatiente;413713;384753;597329;183616
PATAGONICA_MODENA;verde;150x110;bronce colonial;mosquitero;393514;361978;582160;188646
PATAGONICA_MODENA;verde;150x110;bronce colonial;premarco;374033;347851;518356;144323
PATAGONICA_MODENA;verde;150x110;bronce colonial;herrajes_blancos;327672;304735;473101;145429
PATAGONICA_MODENA;verde;200x150;bronce colonial;raja;601427;559327;868355;266928
PATAGONICA_MODENA;verde;200x150;bronce colonial;brazo;605427;563047;874131;268704
PATAGONICA_MODENA;verde;200x150;bronce colonial;volcable;605427;563047;874131;268704
PATAGONICA_MODENA;verde;200x150;bronce colonial;oscilobatiente;701427;652327;1012738;311311
PATAGONICA_MODENA;verde;200x150;bronce colonial;mosquitero;746519;687008;1103288;356769
PATAGONICA_MODENA;verde;200x150;bronce colonial;premarco;682627;634843;956407;273780
