Caso,Descripcion,CostoBase,PrecioFinal,Items,Valido
"Ventana Abrir Herrero blanco","Ventana de Abrir Herrero 150x120 - 2 hojas c/CP8",161894,169894,5,true
"Ventana Abrir Herrero negro","Ventana de Abrir Herrero 150x120 - 2 hojas c/CP8",161894,203228,5,true
"Ventana Abrir Herrero bronce colonial","Ventana de Abrir Herrero 150x120 - 2 hojas c/CP8",161894,219894,5,true
"Ventana Abrir Herrero simil madera","Ventana de Abrir Herrero 150x120 - 2 hojas c/CP8",161894,481002,5,true
